leaid,district_name,current_boundary_since,n_baseline_years,n_efa_years,total_years,data_status,baseline_years_thin,baseline_cagr,covid_drop_pct,recovered_from_covid,efa_cagr,typology,reversal_magnitude
0503320,BLYTHEVILLE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.05029404012607386,-0.3585798816568047,False,-0.06928191808939221,accelerating_decline,
0503420,LEAD HILL SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.019112500595366844,-0.024,False,-0.000934579983705941,decline_stabilized,
0503450,BOONEVILLE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.01471225670065135,-0.09601873536299765,False,-0.007275924650623988,sustained_decline,
0503480,BRADFORD SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.004329241485586666,-0.08993576017130621,False,-0.030010387980691444,emerging_decline,
0503630,BRINKLEY SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.01882218250395573,-0.21415270018621974,False,-0.05567360858263315,accelerating_decline,
0503640,BROOKLAND SCHOOL DISTRICT,2013,7,4,13,ok,False,0.05152353211308269,0.03685596088755171,True,0.015367896198845266,growth_throughout,
0503690,BRYANT SCHOOL DISTRICT,2013,7,4,13,ok,False,0.008054664788589738,-0.009140767824497258,True,-0.005021530383292783,reversal_downward,small
0503710,BUFFALO ISLAND CENTRAL SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.014397250134766892,-0.14285714285714285,False,-0.019122352330087966,sustained_decline,
0503750,CABOT SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0056063735857130315,-0.03308299267991254,True,-0.006834885781452971,reversal_downward,small
0503770,CADDO HILLS SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.007018555631698398,-0.07692307692307693,False,0.006598871193429501,reversal_upward,small
0503840,CALICO ROCK SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.014101761300046034,-0.15813953488372093,False,-0.04436323536459208,accelerating_decline,
0503960,CARLISLE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.01538968672068075,-0.13540197461212977,False,-0.0016233794778151012,decline_stabilized,
0504020,WESTSIDE CONSOLIDATED SCHOOL DISTRICT (Craighead),2013,7,4,13,ok,False,0.003996092371018944,-0.020713463751438434,True,-0.004420584336076394,stable,
0504050,CAVE CITY SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.014397250134766892,-0.08722741433021806,False,-0.01205974645518837,sustained_decline,
0504080,CEDARVILLE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.019320348646660435,-0.1618828932261768,False,-0.012167796896547567,sustained_decline,
0504110,GENOA CENTRAL SCHOOL DISTRICT,2013,7,4,13,ok,False,0.015187832491143416,-0.003401360544217687,True,0.0022490938847179454,growth_stalled,
0504170,WHITE COUNTY CENTRAL SCHOOL DISTRICT,2013,7,4,13,ok,False,0.02841297887315619,0.015345268542199489,True,0.009650777254669674,growth_throughout,
0504200,CHARLESTON SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0011487694966447748,-0.09392265193370165,False,0.007001394858006549,emerging_growth,
0504350,CLARENDON SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.05924063695173121,-0.29322033898305083,False,-0.05198273648419227,sustained_decline,
0504370,RECTOR SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.004450635968130445,-0.09819967266775777,False,0.009191691789812939,emerging_growth,
0504380,CLARKSVILLE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.003949039006982069,-0.09273743016759776,False,-0.019245916840514132,emerging_decline,
0504410,CLINTON SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0074667867927755704,-0.07669172932330827,False,-0.02609186188902668,accelerating_decline,
0504560,CONCORD SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.01322264260339201,-0.19189765458422176,False,-0.009928453499808976,sustained_decline,
0504590,CONWAY SCHOOL DISTRICT,2013,7,4,13,ok,False,0.006470007953515378,-0.029554215676583968,True,-0.014713989773100455,reversal_downward,moderate
0504680,COTTER SCHOOL DISTRICT,2013,7,4,13,ok,False,0.020827724646625523,-0.036601307189542485,False,-0.021628437975796055,reversal_downward,large
